row_id,campaign_id,send_date,recipient_id,variant,subject_line,body_preview,country,device,list_segment,send_hour,day_of_week,opened,clicked,clicks_count,bounce,unsubscribe,subject_sentiment_score,word_count_subject
1117,cmp_1464,2025-10-04 20:38:03,user_93160,B,Unlock your free shipping today,free shipping. Top picks in electronics. Shop now.,Germany,mobile,active_users,20,Saturday,1,0,0,0,0,3,5
1369,cmp_1770,2025-11-05 03:38:03,user_12850,A,Special offer on books,early access. Top picks in books. Shop now.,India,tablet,vip,3,Wednesday,1,0,0,0,0,1,4
423,cmp_1971,2025-11-02 00:38:03,user_46725,A,Don't miss out — free shipping for you,free shipping. Top picks in books. Shop now.,United States,tablet,vip,0,Sunday,0,0,0,0,0,0,8
414,cmp_1482,2025-08-25 06:38:03,user_12981,A,Don't miss out — exclusive discount for you,exclusive discount. Top picks in beauty. Shop now.,Germany,tablet,newsletter_only,6,Monday,0,0,0,0,0,2,8
452,cmp_1339,2025-10-03 02:38:03,user_21495,A,Don't miss out — buy 1 get 1 for you,buy 1 get 1. Top picks in electronics. Shop now.,France,tablet,newsletter_only,2,Friday,0,0,0,0,0,-1,10
862,cmp_1985,2025-09-20 06:38:03,user_69183,B,Unlock your free shipping today,free shipping. Top picks in home. Shop now.,United States,tablet,newsletter_only,6,Saturday,0,0,0,0,0,3,5
1064,cmp_1760,2025-10-18 19:38:03,user_37769,A,Last chance: 20% off ends today,20% off. Top picks in electronics. Shop now.,United Kingdom,tablet,newsletter_only,19,Saturday,0,0,0,0,0,-1,6
742,cmp_1048,2025-11-02 20:38:03,user_12376,A,Don't miss out — free shipping for you,free shipping. Top picks in fashion. Shop now.,United Kingdom,tablet,new_users,20,Sunday,0,0,0,0,0,0,8
1273,cmp_1517,2025-10-21 22:38:03,user_29450,B,Unlock your exclusive discount today,exclusive discount. Top picks in kitchen. Shop now.,United Kingdom,mobile,new_users,22,Tuesday,0,0,0,0,0,5,5
260,cmp_1926,2025-09-16 00:38:03,user_94182,B,🔥 early access — only for a few,early access. Top picks in electronics. Shop now.,Spain,mobile,new_users,0,Tuesday,1,0,0,0,0,0,8
889,cmp_1665,2025-10-05 21:38:03,user_91777,A,Last chance: 20% off ends today,20% off. Top picks in electronics. Shop now.,France,tablet,vip,21,Sunday,0,0,0,0,0,-1,6
1433,cmp_1036,2025-10-28 22:38:03,user_28352,A,Don't miss out — free shipping for you,free shipping. Top picks in home. Shop now.,Spain,tablet,churn_risk,22,Tuesday,0,0,0,0,0,0,8
713,cmp_1094,2025-10-22 00:38:03,user_62279,A,Last chance: 50% off ends today,50% off. Top picks in kitchen. Shop now.,United States,desktop,active_users,0,Wednesday,0,0,0,0,0,-1,6
1383,cmp_1445,2025-08-19 07:38:03,user_22170,A,Last chance: exclusive discount ends today,exclusive discount. Top picks in electronics. Shop now.,United Kingdom,mobile,churn_risk,7,Tuesday,0,0,0,0,0,2,6
71,cmp_1425,2025-10-13 20:38:03,user_68176,A,Limited time: 20% off inside,20% off. Top picks in beauty. Shop now.,Germany,mobile,new_users,20,Monday,0,0,0,0,0,1,5
1269,cmp_1709,2025-09-27 07:38:03,user_41594,A,Limited time: buy 1 get 1 inside,buy 1 get 1. Top picks in fashion. Shop now.,Spain,tablet,newsletter_only,7,Saturday,0,0,0,0,0,1,7
1492,cmp_1389,2025-09-09 22:38:03,user_65052,A,Your fashion update: 20% off,20% off. Top picks in fashion. Shop now.,France,desktop,vip,22,Tuesday,0,0,0,0,0,0,5
608,cmp_1854,2025-10-12 21:38:03,user_86704,A,Last chance: early access ends today,early access. Top picks in sports. Shop now.,Germany,desktop,new_users,21,Sunday,0,0,0,0,0,-1,6
434,cmp_1227,2025-10-06 06:38:03,user_97993,B,Unlock your 50% off today,50% off. Top picks in home. Shop now.,Italy,tablet,vip,6,Monday,0,0,0,0,0,2,5
